2026-06-25 15:21:05,620 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] START sync_software (V_CMDB_Software) -- 2026-06-25 15:21:05.621178
2026-06-25 15:21:05,621 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] Menghubungkan ke bcmdb sebagai sa...
2026-06-25 15:21:05,670 [INFO] Menghubungkan ke GRAFANADB sebagai sa...
2026-06-25 15:21:05,689 [INFO] [ensure_table] Tabel 'V_CMDB_Software' sudah tersedia di GRAFANADB.
2026-06-25 15:21:05,690 [INFO] [fetch] Query: SELECT ... FROM [bcmdbuser].[V_CMDB_Software]
2026-06-25 15:21:05,883 [INFO] [fetch] Berhasil membaca 647 baris dari bcmdb.bcmdbuser.V_CMDB_Software.
2026-06-25 15:21:05,888 [ERROR] [upsert] Gagal pada SoftwareName=.NET Framework UserControl Test Container: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)")
2026-06-25 15:21:05,889 [ERROR] [upsert] Gagal pada SoftwareName=.NET Framework UserControl Test Container: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,891 [ERROR] [upsert] Gagal pada SoftwareName=.NET Host: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,893 [ERROR] [upsert] Gagal pada SoftwareName=.NET Runtime Crash Dump Generator: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,897 [ERROR] [upsert] Gagal pada SoftwareName=.NET Runtime Optimization Service: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,898 [ERROR] [upsert] Gagal pada SoftwareName=7-Zip Standalone Console: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,900 [ERROR] [upsert] Gagal pada SoftwareName=7-Zip Standalone Console: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,902 [ERROR] [upsert] Gagal pada SoftwareName=7-Zip Standalone Console: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,906 [ERROR] [upsert] Gagal pada SoftwareName=AAD token broker plugin: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,907 [ERROR] [upsert] Gagal pada SoftwareName=Accessible Event Watcher (32-bit UNICODE Release): ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,908 [ERROR] [upsert] Gagal pada SoftwareName=Accessible Event Watcher (64-bit UNICODE Release): ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,909 [ERROR] [upsert] Gagal pada SoftwareName=Accounts Control Host: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,910 [ERROR] [upsert] Gagal pada SoftwareName=AddSuggestedFoldersToLibraryDialog: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,911 [ERROR] [upsert] Gagal pada SoftwareName=ADPCM encoding and decoding utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,911 [ERROR] [upsert] Gagal pada SoftwareName=Antimalware Service Executable: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,912 [ERROR] [upsert] Gagal pada SoftwareName=Application Impact Telemetry Static Analyzer: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,913 [ERROR] [upsert] Gagal pada SoftwareName=Application Verifier x64 External Package: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,913 [ERROR] [upsert] Gagal pada SoftwareName=AppResolverUX: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,914 [ERROR] [upsert] Gagal pada SoftwareName=Appx Launcher: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,915 [ERROR] [upsert] Gagal pada SoftwareName=AppxDebugSysTray: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,915 [ERROR] [upsert] Gagal pada SoftwareName=AppxDebugSysTray: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,916 [ERROR] [upsert] Gagal pada SoftwareName=AsyncTextService: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,917 [ERROR] [upsert] Gagal pada SoftwareName=Authenticode - signing and verifying tool: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
